instagram_comments,offensive_language,offensiveness_levels,antisemitism,apology_for_the_dictatorship,fatphobia,homophobia,partyism,racism,religious_intolerance,sexism,xenophobia,offensive_&_non-hate_speech,non-offensive,specialist_1_hate_speech,specialist_2_hate_speech,specialist_3_hate_speech
"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pilantra,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Sim, ela tem penas.......com certeza",True,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Canalha,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Velha ridícula e bandida!! Parece uma porca,True,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False
Sim porque??? É muita hipocrisia. E a propina...,True,2,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Outra canalha.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse povo de esquerda é asqueroso e corruptos,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Propineira com pena pq a mamata acabou.... 🤮🤮,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"E uma coitada , não tem credibilidade aqui nao",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
@veronica_michelle_bachelett e a propina recebida pela OAS teve pena quando recebeu? #hipocrita #oportunista #voltapromaroferenda,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Porque ela é uma ladra morfética,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Safada !! ONU não vale nada!!,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Falsa!!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa ja fez parte da quadrilha,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que devolva a propina e pare de se meter onde nao foi chamada brachelenta!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pilantra vadia,True,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Hipocrisia Pura😡😡,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
#maiatraidordapatria,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Não precisamos da pena de ninguém ,ainda mais dessa desqualificada ,guarde ela ,as muitas penas que tem pra si mesma 🐔, #Bolsonaro2022 ,sem mais .....",True,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Safada,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,True
"Pena do Brasil??? O qué será que pensa essa corrupta, tentando dar uma de pessoa íntegra, correta, quando não passa de uma vigarista! 😠🤔😠",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Percebem que , todo bandido no final de sua gestão , é convidado para trabalhar na ONU ! Porque será ???!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa é uma canalha esquerdopata! Nós brasileiros não precisamos de suas condolências! Bandida!,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Que mulher nojenta,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Quem quer saber a opinião dela?,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa vagabunda não tem que falar nada!,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Pq é uma PILANTRA do mesmo NÍVEL BAIXO de LULADRÃO E DIMANTA!,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
É uma idiota! Não precisamos da pena dela...,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Essa esquerdopata imbecil não consegue ser ouvida nem no Chile, sua terra!",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Porque é suja e adora dinheiro alheio,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Clínica. Faz parte da esquerda demoníaca.,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Mas é falsa hein?Acabou a mamata.quer dinheiro vá trabalhar.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Hipócrita,vai procurar tua turma. O BRASIL não precisa da tua pena.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nojenta! Lava a boca pra falar do nosso Presidente!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Eu que tenho pena dessa mulher feia e de um caráter duvidoso.,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E quando recebeu dinheiro ilegal de propina e portanto de nossos impostos suados? Hipócrita.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Quando ouvimos uma sujeita dessas 💩 falando assim é sinal que estamos no caminho certo. Ela gostava do Brasil quando recebia mesada, dinheiro fruto de roubo.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Otária, BABACA.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
É típico dessa gente a cara de pau!!!🤢,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Bachelet, não tem o que fazer?Sugestão: vau catar coquinho!!!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Comunista vagabunda,True,3,False,False,False,False,True,False,False,True,False,False,False,False,False,False
Pq é criminosa do foro de São Paulo !,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Outra esquerdista cara de pau! Não basta os do Brasil! 😡,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Essa puta não tem dó da Venezuela???,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
A ONU é pior esquerda que temos no mundo atualmente.,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Hipócrita 🤬🤬🤬,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
É que o dindin pra ela acabou 😂😂😂,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True
"Sério???? Engraçado que quem invadiu a Polônia foram os Nazistas. Você estava comemorando isso???? A invasão???? Fascista que fala, né!!!",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Puta que pariu,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Até pelos comentários, a gente percebe quem é normal e quem é esquerdopata... Por que será né?",True,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False
"SOS UNA BASURA BOLSONARO, DAS TANTO ASCO!!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Deje el ego que usted no es más que el Amazonas reciba la plata que usted no es nada el Amazonas es algo,True,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Colonialista di merda,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Your words are like gasoline , and You put out 🔥 with gasoline.😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 🔥 rainforest.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Selva 🇧🇷,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Que coisa linda a gente não conhecia, ISSO Políticos LADROES NEM IMAGINAVAM QUE, EXISTIAM TANTOS, PORQUE ???, sabia se um entrasse alguém do exercito deu no que deu, tirar verbas de Vagabundos , PARA SOBRAR PARA O BRASIL, E TEM MULAS QUE AINDA FALAM EM ESQUERDA MEU DEUS AS BURRiCES ESTÃO VENDO A REALIDADE E NÃO ACEITAM , CRIMES INVADINDO OS RESPONSÁVEIS PELO BRASIL, ATÉ ISSO ACORDARAM , NINGUÉM QUE VIROU P ESQUERDA FINGIRAM EM NAIO ENTENDER , BANDIDOS AGINDO JUNTOS COM 0S BANDIDOS DA ESQUERDA E PCC VIU COM QUEM ESSAS MULAS QUETEM QUE FOCAM NO BRASIL????",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"@ronaldosnascimento1_ Mas tu é baixo nível, né cara? Dá dó!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Fala bandidão,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Coitado desse Jão gordo, fracassado.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Aproveite ,logo estará atrás das grades.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ai sabe roubar ...prefeitão de SP....kkkk...,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
E a Amazônia professor? Não dá pra limpar a agenda pra focar nessa emergência? Faz alguma coisa útil. Nem tudo é voto. Onde vocês estão quando o país precisa de vocês ? @cirogomes dando palestra e entrevista enquanto a Amazônia queima. Pq vcs não vão no encontro do g20 representar o Brasil já que o bozo não serve pra isso? Bate na porta. Fala vim ajudar. Depois usa isso na campanha. Façam alguma coisa útil porra!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"(!!atenção!!numeração duplicada) Lamento o silêncio dos candidatos a presidência 2018, vejo que o Ciro é o mais ativo nas críticas contra o atual Desgoverno. Vocês têm voz!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Que dor no ❤️, toda vez que olho para o Haddad e me dou conta que poderíamos tê-lo como presidente. Intelectual, professor, de uma simplicidade incrível, acima de tudo, humano. Que ao invés disso temos, um lunático, despreparado, incapacitado intelectualmente, ditatorial, autoritário, fascista, desrespeitoso...afff, se continuar ficarei 3 dias adjetivando a “besta fera”.",True,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Isso é um doente,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse bolha falador de merdas já passou dos limites so5de ter nascido. 💩,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Na moral, onde foi parar a sensatez? Kirchner pode ser esquerda, mas é corrupta pra caralho!!!",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Interdição nessa praga Já,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Idiota,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Só resta aceitar Sr Caga pela boca.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse lixo só vomita bosta ! Incapaz,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Q merda é essa? Ah, Bozo abriu a boca de novo.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Quanta besteira dita por este imbecil.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Terrorismo, além do preconceito contra RORAIMA 🤮🤮🤮🤮",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que besteira!!! Só podia vir de uma boca insana...,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ele vai ter que engolir a esquerdalhada. 💅🏽,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Este Senhor, é terrível. 😢",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Babaca!!!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tão burro que doi😒 #elenao,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Oh diabo doido!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"O MAIOR ERRO E DIZER QUE ELE DIZPORQUE NA VERDADE ELE NAO DIZ NADA, APENAS CAGA PELA BOCA..",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ele poderia arrumar o que fazer esse bosta,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Mi mi mi mi mi mi mi mi. Vc é uma vergonha, não representa o povo do RS.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Venezuelanos correm para o território brasileiro pedindo socorro,e esses esquerdistas que só pensam no poder apoiando aquele filho da puta daquele psicopata. Falei",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Eu acho bom ele dizer bastante cocô,pq assim quem o apoiou pode acordar e perceber que ele mitou e está nós matando de vergonha.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse demônio só fala merda!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nojo desse homem 🤮🤮🤮,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
esse cavalo batizado no Jordão fala cada merda. 😡,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
CALE-SE BOZO🙈,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Só fala merda! Fora da realidade,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Um imbecil inepto ! 🤦🏻‍♂️,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse cara só evacua pela boca?,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Como sempre, onde vai estimula ódio. Os ares estiveram poluídos por aqui com a presença desta criatura maléfica.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
É um babaca....,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Meus olhos sagram com tanta besteiras que sai da boca desse ser,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
"A esquerda é teimosa, esquece esse lixo. Deixa ele falar, se ninguém ligar pra isso e ser um jeito de achar o Queiroz, logo logo ele cala a boca. Mas vcs ficam dando audiência pra essas idiotices.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse cara so abre a boca pra falar merda. Cala-te !,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Indigesto 🤮,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse traste pensa que o Brasil é o quintal da casa dele. Aff!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vai fazer campanha pra Argentina tb? O gado dele não vota lá...,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True
"Vou filosofar: O cocô sai pelo ânus, mas pelo jeito, em algumas pessoas do congresso, se acumula no cérebro 💩 🧠",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Por que será? Bandido defende bandido,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Não consigo intender a força que estes demônios tem. Tá na hora de botar estes lixos pra fora,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Que sirva pra esquerda, que foi a maior propulsora de fakenews nas últimas eleições...",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
QM deve teme.. UM ESTADO COMUNISTA E NAZISTA AGE IGUAL.. ACABEI LEMBRANDO D MADURO E DE CUBA..😂😂😂,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Todos sem vergonha cupado e o povo que ELEGERÃO,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Prisão deveria p esses Ladrões, isso sim.",True,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Vai faltar cadeia kkkkk,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Vao procurar o que fazer vão aprovar coisas mais importantes do que isso seus mequetrefes caras de pau,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Como eu gostaria que caísse uma bomba no STF!!,True,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Pq essas merdas são votadas rapidinho e coisas importantes não são 😡,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Só quero saber quem irá julgar os esquerdopatas ? Sabemos muito bem que eles são os reis em FakeNews.,True,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
"Esse congresso é uma Vergonha Nacional, salvo belíssimas excessoes! 😢😢😢",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Quem manda é o Congresso e o STF, pelo visto. O pior, é ver a esquerdalha comemorando e dizendo que a militância Bolsonarista é a que mais propaga fake news. Fim dos tempos!",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Presidente serve pra PORRA nenhuma, so pra tomar pau da imprensa, pq na hora de fazer algo so toma na cabeca",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Que nada! Deram mais um tiro no próprio pé! Quem espalha fake news?? Ós comunistas, ptistas, psolistas e outra iiiistas. Então, nao criemos pânico.",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Eles fazem isso pq o salário deles está garantido no fim do mês. Esses vagabundos estão contra o povo trabalhador. Intervenção militar já no congresso e no STF.,True,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
É MUITO LIXO ESSE CONGRESSO!! 🤮,True,2,False,False,False,False,False,False,False,False,False,True,False,True,False,False
"Fecha esse STF ,só faz merda",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
canalhas,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Congresso do cão,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lixo de congresso Senado e STF,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
A petralha tá fudida,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Absurdooooo!!! Não sei onde vamos parar!! Tem que ter uma solução pra essa pouca vergonha chamada CONGRESSO NACIONAL que deveria defender os interesses do povo mas não fazem outra coisa a não ser defender seus PRÓPRIOS interesses!!🤬🤬🤬🤬🤬🤬,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Isso vai ser para todos os partidos ou só para o partido do presidente????? E qual vai ser o critério para isso, e quem cai julgar, porque vi o pt fazer muitos faknews e ninguém fez nada! O próprio candidato do pt às vésperas das eleições aprontou.",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"OQ VCS DEPUTADOS E SENADORES ESTÃO ESPERANDO P ACABAR C ESTS PALHAÇADA,ELES JAH PASSARAM DO LIMITE DA ORDEM,VÃO SOLTAR O BANDIDO E VAI HAVER MANIFESTOS GRAVES DA SOCIEDADE EM PROTESTO AOS MANDOS E DESMANDOS DLES, ACORDEM,TOMEM ATITUDES QUANTO A ELES...",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Pessoal , vamos nos unir sempre. Kim e MBL são nossos aliados. A esquerda deste país se junta e não têm caráter. Ponto. A direita precisa ser firme. Um ou outro ponto poderá ser divergido. Normal. Conversem. DIREITA sempre. Unidos é que vencemos eles. Kim é um político honesto. Ele só precisa ter maldade. E sair do DEM. Claro",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Acho que foi um tiro no pé....!!! Dos safados.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
STF uma vergonha nacional #intervençãomilitarjá,True,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
"Mas, o que esperar de um congresso quase todo CORROMPIDO? Um reino, uma associação,cooperativa, Senado Federal,Suprema Corte ou até mesmo a Câmara Federal, jamais subsistirá se não estiverem focados no mesmo objetivo(se protege), limitando, diminuindo a interação da sociedade brasileira, em assuntos pertinentes à mesma.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Quando vamos ficar livre do STF mesmo?,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Vou morrer na prisão, #ptnuncamais",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True
"Pelo visto a justiça vai se ferrar com o volume de processos, as prisões vão entupir de gente. Tem que começar a prender o pessoal da Globo, folga, Uol, o globo, etc. Em dois tempos eles vão pressionar por mudanças.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Pelo que vejo grande parte do congresso legisla somente em causa própria, ladrões, corruptos não podem ser preso mas por fake news sim... Então a Globo está ferrada e PT nem se fala !",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Bandidos,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Isso é o comunismo , são essas criaturas das trevas , 😢😢😢😢😢😢😀",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Perde o povo brasileiro que te sustenta estes bandidos políticos tarde de mais os três poderes mandam no país o Bolsonaro e figurinha de brinquedo da mídia triste realidade não há mais nada a fazer.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse Congresso bandido tem mais poder que o presidente!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
😡😡😡 No Congresso Nacional tem bandidos.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
A globo então deveria ser presa por divulgar um monte de fake news,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Mas criminalizar o MST essa bosta que sabemos que é realmente criminoso esse STF vergonha não só nacional, mas INTERNACIONAL!!!",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
#cadeiaparaverdevaldo #prisaoglenngreenwald #impeachmentgilmarmendes #impeachmenttoffoli #somostodosmoro #somostodosdeltandallagnol #euapoioalavajato #euapoiobolsonaro #prisaoemsegundainstancia #impeachmentrodrigomaia #impeachmentdavialcolumbre #forafelipesantacruz #fimdoforoprivilegiado #fimdofundopartidario #lulaladrao #lulapreso #foratoffoli #fimdofundoeleitoral #cpilavatoga #globofakenews #bandlixo #fimdafolhasp #fimdopteseuspuxadinhos #fimdapecdabengala #impeachmentlewandowski #pacoteanticrimeja #portaria666ja #stfvergonhanacional #bolsonarovetaoabuso #vetabolsonaro,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Os piores bandidos tão aí STF LIXOS,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True
A cada dia rumamos para o fortalecimento da ditadura de criminosos,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Eu já disse : Se às Forças Armadas não FECHAREM este Congresso Nacional Corrupto nossa NAÇÃO estará condenada à Venezualizacao. Seremos uma Republiqueta bolivariana !,True,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Até quando o STF vai trabalhar contra o país?,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Cretinos, porrada neles!!! 👊👊👊",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Mistura do Chuck com a Chiquinha ! Uma garotinha sueca, de trancinha, com ar de inocência, atriz perfeita para as massas esquerdistas! Que feio. Deveriam ter vergonha!",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
#BolsonaroEnvergonhaoBrasil,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"ELA DIZENDO QUE OS CAPITALISTAS LHES ROUBARAM A INFÂNCIA POR CAUSA DO AQUECIMENTO GLOBAL.. SE ELA SOUBESSE QUE LULA, O PT, O PMDB E CABRAL ROUBARAM ESCOLA, MERENDA, HOSPITAIS, REMÉDIOS DE TODAS AS CRIANÇAS BRASILEIRA.. ACHO QUE ELA NEM BOTAVA A CARA NA ONU....",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Bla bla bla, não me convenceu 💩",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa criança não significa nada. Esse assunto é secundário. O assunto mais importante da humanidade é como acabar com a CORRUPÇÃO.,True,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Falou e falou e não falou nada só vejo ódio na vida dela nada vê essa menina 😂😂😂😂😂😂,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Noussa. Quanta hipocrisia.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bosta pura,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
O gado baba de ódio por não terem tamanha sensatez!! Ótimo ver o gado convulsionando!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Parabéns a garotinha do George Sorus. Uma laranjinha sendo usada pelas grandes corporações parabéns a menina usada por sua mãe e as gigantes de seu contrato .,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Imbecil,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Conversa pra boi 🐄 dormir!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
